match_number,date,time_et,group,home_team,away_team,stadium,city
1,2026-06-11,15:00,A,Mexico,South Africa,Estadio Azteca,Mexico City
2,2026-06-11,22:00,A,South Korea,Czechia,Estadio Akron,Guadalajara
3,2026-06-12,15:00,B,Canada,Bosnia and Herzegovina,BMO Field,Toronto
4,2026-06-12,21:00,D,United States,Paraguay,SoFi Stadium,Los Angeles
5,2026-06-13,15:00,B,Qatar,Switzerland,Levis Stadium,San Francisco
6,2026-06-13,18:00,C,Brazil,Morocco,MetLife Stadium,New York/New Jersey
7,2026-06-13,21:00,C,Haiti,Scotland,Gillette Stadium,Boston
8,2026-06-14,00:00,D,Australia,Turkiye,BC Place,Vancouver
9,2026-06-14,13:00,E,Germany,Curacao,NRG Stadium,Houston
10,2026-06-14,16:00,F,Netherlands,Japan,AT&T Stadium,Dallas
11,2026-06-14,19:00,E,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia
12,2026-06-14,22:00,F,Sweden,Tunisia,Estadio Akron,Guadalajara
13,2026-06-15,13:00,H,Spain,Cape Verde,Mercedes-Benz Stadium,Atlanta
14,2026-06-15,18:00,G,Belgium,Egypt,Lumen Field,Seattle
15,2026-06-15,18:00,H,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami
16,2026-06-16,00:00,G,Iran,New Zealand,SoFi Stadium,Los Angeles
17,2026-06-16,15:00,I,France,Senegal,MetLife Stadium,New York/New Jersey
18,2026-06-16,18:00,I,Iraq,Norway,Gillette Stadium,Boston
19,2026-06-16,21:00,J,Argentina,Algeria,GEHA Field,Kansas City
20,2026-06-17,00:00,J,Austria,Jordan,Levis Stadium,San Francisco
21,2026-06-17,13:00,K,Portugal,DR Congo,NRG Stadium,Houston
22,2026-06-17,16:00,L,England,Croatia,AT&T Stadium,Dallas
23,2026-06-17,19:00,L,Ghana,Panama,BMO Field,Toronto
24,2026-06-17,22:00,K,Uzbekistan,Colombia,Estadio Azteca,Mexico City
25,2026-06-18,12:00,A,Czechia,South Africa,Mercedes-Benz Stadium,Atlanta
26,2026-06-18,15:00,B,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Los Angeles
27,2026-06-18,18:00,B,Canada,Qatar,BC Place,Vancouver
