team,Group,R32,R16,QF,SF,Final,Winner
Spain,99.21,69.59,53.910000000000004,38.7,25.61,16.509999999999998,16.509999999999998
Argentina,97.53,62.45,43.32,29.9,19.259999999999998,11.52,11.52
Brazil,97.78999999999999,66.02,46.03,32.09,19.25,11.34,11.34
France,95.46,68.05,46.06,29.310000000000002,18.7,10.35,10.35
England,95.56,67.15,47.36,27.229999999999997,15.409999999999998,7.99,7.99
Netherlands,92.81,54.800000000000004,37.480000000000004,20.69,10.84,5.3,5.3
Colombia,94.76,63.01,35.199999999999996,19.62,9.43,4.58,4.58
Germany,95.99,63.849999999999994,31.869999999999997,18.099999999999998,9.06,4.1000000000000005,4.1000000000000005
Portugal,90.93,57.24,31.840000000000003,15.870000000000001,8.18,3.8699999999999997,3.8699999999999997
Belgium,95.93,62.35000000000001,36.870000000000005,18.92,7.960000000000001,3.71,3.71
Norway,86.69,53.300000000000004,27.21,14.2,6.75,3.05,3.05
Croatia,90.38000000000001,50.519999999999996,29.49,12.629999999999999,5.71,2.37,2.37
Japan,85.69,43.519999999999996,25.56,11.62,4.9399999999999995,2.1999999999999997,2.1999999999999997
Uruguay,90.03,42.059999999999995,22.56,11.33,4.87,1.9900000000000002,1.9900000000000002
Switzerland,91.53,57.989999999999995,26.13,10.65,4.8,1.97,1.97
Mexico,89.61,51.51,22.06,9.15,3.42,1.15,1.15
Ecuador,87.46000000000001,44.269999999999996,18.54,7.89,3.1399999999999997,1.15,1.15
United States,78.17,44.07,18.57,8.03,2.76,1.06,1.06
Morocco,84.83000000000001,33.89,17.299999999999997,6.16,2.3,0.8,0.8
Senegal,72.82,34.38,14.97,5.81,2.21,0.72,0.72
Austria,77.63,29.220000000000002,14.360000000000001,5.7299999999999995,1.83,0.66,0.66
Paraguay,69.35,36.44,13.120000000000001,5.0,1.79,0.53,0.53
South Korea,82.97,41.38,14.11,4.72,1.76,0.53,0.53
Sweden,55.34,22.33,9.59,3.4799999999999995,1.0999999999999999,0.44999999999999996,0.44999999999999996
Canada,90.72,49.26,17.88,5.7,1.7999999999999998,0.43,0.43
Australia,64.51,31.369999999999997,10.84,3.95,1.23,0.31,0.31
Scotland,66.16,20.46,8.48,2.63,0.84,0.2,0.2
Algeria,60.129999999999995,17.97,7.249999999999999,2.04,0.61,0.19,0.19
Iran,68.01,27.529999999999998,8.63,2.59,0.69,0.16999999999999998,0.16999999999999998
Czechia,69.5,29.220000000000002,8.38,2.6100000000000003,0.7100000000000001,0.16,0.16
Ivory Coast,67.07,25.979999999999997,8.06,2.33,0.59,0.13999999999999999,0.13999999999999999
Turkiye,61.08,27.27,8.15,2.6,0.61,0.09,0.09
Egypt,62.35000000000001,21.12,5.6899999999999995,1.41,0.31,0.09,0.09
Panama,42.59,13.700000000000001,4.33,1.02,0.27999999999999997,0.06999999999999999,0.06999999999999999
Uzbekistan,43.51,13.96,4.15,1.02,0.25,0.06999999999999999,0.06999999999999999
Bosnia and Herzegovina,48.02,15.25,3.7900000000000005,0.8,0.16,0.05,0.05
Tunisia,32.62,9.69,2.9499999999999997,0.6,0.09,0.03,0.03
Jordan,27.12,5.96,1.81,0.41000000000000003,0.08,0.02,0.02
New Zealand,40.46,10.63,2.1399999999999997,0.45999999999999996,0.11,0.02,0.02
South Africa,28.03,7.26,1.3299999999999998,0.32,0.04,0.01,0.01
Ghana,35.64,9.74,2.54,0.5499999999999999,0.11,0.01,0.01
Qatar,37.830000000000005,10.09,1.9900000000000002,0.33,0.06999999999999999,0.01,0.01
Curacao,17.48,3.7699999999999996,0.64,0.15,0.02,0.01,0.01
Saudi Arabia,43.980000000000004,9.56,2.4699999999999998,0.62,0.13999999999999999,0.01,0.01
DR Congo,36.79,10.42,2.68,0.5700000000000001,0.12,0.01,0.01
Haiti,17.44,3.0300000000000002,0.6799999999999999,0.15,0.03,0.0,0.0
Cape Verde,24.3,3.8600000000000003,0.8099999999999999,0.13999999999999999,0.02,0.0,0.0
Iraq,16.189999999999998,3.51,0.8200000000000001,0.16999999999999998,0.01,0.0,0.0
